Επεισόδιο	Μ.Ο. (4.23/75)	Alec M. (3.5/4)	Alex M. (4.46/25)	Alexis Z. (4.1/13)	Amerikanos S. (3.75/4)	Andreas K. (3.35/5)	Andriana A. (1/1)	Antonis G. (3.67/3)	Antonis S. (3.34/8)	Aris V. (5/2)	Asklipios V. (4.28/8)	Athanasios P. (4/1)	Attila M. (4.5/4)	Charalampos G. (4.65/13)	Christos K. (4.46/14)	Constantine S. (3.28/17)	Despoina M. (4.5/2)	Dimitrios C. (4.43/19)	Dimitrios P. (4.47/28)	Dimitris K. (4.45/5)	Dino B. (2.83/3)	Dion T. (4.33/9)	Eleftherios K. (4/1)	Elias J. (4.97/10)	Elizabeth D. (4.19/12)	Emmanuel Z. (4.09/17)	Evagelos Z. (4.47/17)	Frank B. (4.5/11)	George A. (4.56/21)	George J. (4.68/10)	George N. (4/1)	George R. (4.58/15)	Giorgos B. (4.15/5)	Grace A. (4.25/2)	Harry M. (4/2)	Ilias S. (4.63/24)	Irene B. (4.46/20)	John D. (4.67/3)	Konstantinos B. (4.67/15)	Konstantinos H. (4.22/10)	Kostas A. (4.5/1)	Kostas K. (4.5/1)	Kostas K. (4.5/1)	Kostas M. (4/1)	Kritolaos P. (4.6/28)	Leon P. (4.56/4)	Makis D. (4.19/16)	Makis F. (4.36/11)	Malk G. (4/1)	Maria K. (4.13/4)	Marwan S. (4.33/3)	Michael G. (4.3/28)	Mike M. (4.5/2)	Nikolis A. (4.75/3)	Panos M. (4.5/1)	Pante-Lykos S. (4.5/2)	Paraskevi O. (4.4/10)	Petros D. (4.88/2)	Prodromos M. (4.29/12)	Stathis P. (4.62/15)	Stelios A. (4.29/27)	Stelios K. (4.28/17)	Theodore T. (4.58/3)	Triantafillia I. (4.88/2)	Vasilis K. (4.25/1)	Yanni F. (1/1)	Αντώνης Κ. (4.38/4)	Γιώργος Γ. (4.15/5)	Δημήτρης Μ. (4.21/25)	Θεοδοσιος Ν. (4.25/1)	Κωνσταντίνος Α. (4.64/16)	Μανώλης Α. (5/1)	Μηνάς Τ. (4.57/7)	Μηνάς Τ. (4.25/1)	Νικόλαος Γ. (3.88/4)	Σωκρατης Ν. (5/1)
Pilot (4.05/21)	4.05		4						4	5						2		4	4			4		4			4	4	4							5			5						4		4				4	4					4			4	4	4														
Context (4.58/15)	4.58		5												4	2			5			4		5				5	5							4.75			5						5			5				4									5								5							
Knife (4.24/20)	4.24	5	5						3	5					4	2			4			4		5					4							4.25			4.5						5			3				4					4				4								5		5					5
Pain (4.73/21)	4.73		5		5										5	4		4.5	5			4.5		5			5		5							4.5			5						5			4.5				4					5			5	4.5	4.25							4.5		5					
Lethe (4.76/18)	4.76		5.5	4.5				3.5							5.5	4.5			4.5							4.25	4.25	5.5	5							4.5			4.5						5.5			4.25				4.5					4.5			5.5	5.5															
Mad (3.9/22)	3.9		4.5	3.5					1				4.5		4.5	4			4.5						4.5	2			4.5							4.5			5.5			4.5			4.5			4.25				3.5								4.5	3.5	3.5							2		3.5		4.5			
Vis (4.21/17)	4.21		4.25						4						4	3			4							4.5	4.25		4							4.25									4.25			4.5				4.25						4.25		5	4								4.5		4.5					
Forest (4.62/19)	4.62		4.75	4.5					4.25							4.5			4.25							5	4.25	4.75	4.75							4.5			5.5						4.75			4.5				4.25								4.75	4.25								4.75		4.75		4.75			
Despite (4.52/24)	4.52		4.5	4.5							4.5		5		4.5	4.25			4.5					5		4.5	4.5		5			5				4	4.5								4.5			4.75		3.5		4.25								5	4.25						4.5		4.5		4.5		4.5			
Wolf (4.65/20)	4.65			4.5							5					4		5	4.5					5		4.5	5		4.5							5	4.5								5			4.25				4.25								5.5	4								4.5		4.5	5	4.5			
Ambition (4.39/22)	4.39	3	4.5	4.25											4.25			4.5	4.5							4.25	4.5		5			5				4.5	4.5								4			4.25		4.25	4.5	4.5					4.5				4.25	4.5					4.5		4.5							
Past (4.63/25)	4.63	2	4.75	4.5							4.5				4.5	4		4.5	4.5					5.5		4.75	4.5		4.75							4.5	4.5								5.5			4.75		4.5		4.75						5.5		5.5	4.75	4.75							4.75		4.5		4.75			
War (4.27/21)	4.27	4	4.75	4.5							3				4.75	2			4.75							4	4.5	4.75	4.75								4.75								4.5		4.25					4.5					4.75				5.5						4.5		2		4.5		4.75			
